index_label,longitude,latitude,time,d2m,t2m,skt,stl1,stl2,stl3,stl4
8128,100.5,30.5,2020-12-04 16:00:00,265.279300371345,269.98963682062833,264.06032731729397,272.2936664543055,272.93757332265744,274.7713526035875,278.97365326528
8129,100.5,30.5,2020-12-04 17:00:00,265.25404710594876,269.57210494750404,262.6876928680389,272.200306420644,272.9367565787019,274.77048837304534,278.97055185266277
8130,100.5,30.5,2020-12-04 18:00:00,265.1922201458408,269.0886958232868,261.35994663657345,272.0975551409929,272.93430634683517,274.7676076045716,278.9674504400455
8131,100.5,30.5,2020-12-04 19:00:00,265.00848087002686,269.11467558428114,260.9748529786929,272.0058523860355,272.93185611496847,274.7650149129452,278.9624537197177
8132,100.5,30.5,2020-12-04 20:00:00,264.9100802152071,268.630338611457,260.6263786563777,271.912492352374,272.9294058831017,274.76242222131884,278.95814620219375
8133,100.5,30.5,2020-12-04 21:00:00,264.7576898205747,268.3909536708657,260.5306958763522,271.8241041548247,272.92491379134606,274.7604056833872,278.95504478957645
8134,100.5,30.5,2020-12-04 22:00:00,264.5748213470158,268.1200218776384,260.6122034297073,271.7379256622141,272.9208300715682,274.7581010686082,278.9519433769592
8135,100.5,30.5,2020-12-04 23:00:00,264.2639449419657,267.9595040686373,261.1461369676275,271.66334812053185,272.91633797981257,274.7555083769818,278.94884196434197
8136,100.5,30.5,2020-12-05 00:00:00,263.4427784154608,267.1708327527358,261.67180162332335,271.59484726743113,272.9110291441013,274.7532037622028,278.9436729433132
8137,100.5,30.5,2020-12-05 01:00:00,262.9638371751875,267.00753139791385,263.87368683279976,271.57716962792125,272.90449519245675,274.75061107057644,278.94057153069593
8138,100.5,30.5,2020-12-05 02:00:00,262.6303199115063,269.361483313728,270.97311285691626,271.7213528751736,272.90000310070104,274.74830645579743,278.93747011807864
8139,100.5,30.5,2020-12-05 03:00:00,262.17837354113936,271.46491610566756,274.30547239336096,271.8290759909368,272.8959193809232,274.7462899178658,278.9323010970499
8140,100.5,30.5,2020-12-05 04:00:00,261.6524089790938,273.34288168612,276.9562397807349,271.9671825496076,272.8934691490565,274.74196876515515,278.92937198513357
8141,100.5,30.5,2020-12-05 05:00:00,259.6042820752343,275.1011547962768,278.7399558034331,272.11247064932934,272.89142728916755,274.73995222722357,278.92609827181536
8142,100.5,30.5,2020-12-05 06:00:00,259.6312769451406,275.82302101247836,279.5290434214214,272.25057720800015,272.89142728916755,274.73793568929193,278.92110155148754
8143,100.5,30.5,2020-12-05 07:00:00,258.15178391382375,276.21178957878743,279.0470857146262,272.3560906188247,272.8918356611453,274.7359191513603,278.9180001388703
8144,100.5,30.5,2020-12-05 08:00:00,258.69951853224535,275.98817806451416,278.1705841988367,272.4400594064966,272.8902021732342,274.73390261342865,278.9147264255521
8145,100.5,30.5,2020-12-05 09:00:00,259.69745791652383,275.16981559319055,276.58177754285725,272.489777767618,272.89265240510093,274.7301576144128,278.91179731363576
8146,100.5,30.5,2020-12-05 10:00:00,260.31311511083874,273.82907435615806,273.7042065287561,272.47928166915904,272.89101891718974,274.72814107648117,278.90852360031755
8147,100.5,30.5,2020-12-05 11:00:00,260.67014403540605,271.5474946316855,270.5632125523625,272.4279060293335,272.8934691490565,274.7264126153969,278.9035268799898
8148,100.5,30.5,2020-12-05 12:00:00,261.0306561689936,271.6180111258131,266.94144213806277,272.3411751104882,272.8918356611453,274.722667616381,278.9004254673725
8149,100.5,30.5,2020-12-05 13:00:00,261.3110544951172,271.3582135158691,264.2705931795723,272.2406335357759,272.8922440331231,274.7218033858389,278.8971517540543
8150,100.5,30.5,2020-12-05 14:00:00,261.5705535671198,270.5751092916093,262.914496494766,272.1511404857572,272.8902021732342,274.7183464636704,278.89405034143704
8151,100.5,30.5,2020-12-05 15:00:00,261.83701905716276,269.9089139918243,262.11359618788566,272.0616474357385,272.8881603133452,274.7169060794335,278.8890536211092
8152,100.5,30.5,2020-12-05 16:00:00,262.0460115983729,269.4616909632778,261.5548560032921,271.97104953325044,272.8857100814785,274.713449157265,278.885779907791
8153,100.5,30.5,2020-12-05 17:00:00,262.2140764335961,269.1118920384603,261.18039376541446,271.88376618817045,272.88244310565625,274.7120087730281,278.8807831874632
8154,100.5,30.5,2020-12-05 18:00:00,262.3438259695974,268.7370412012554,260.9382336431276,271.7959304168558,272.8791761298339,274.70855185085964,278.87768177484594
8155,100.5,30.5,2020-12-05 19:00:00,262.31247708841585,268.2638384117145,260.80711279642594,271.70919949801055,272.87550078203384,274.7050949286911,278.87458036222864
8156,100.5,30.5,2020-12-05 20:00:00,262.4073945342155,267.9910509212733,260.9654028275793,271.6274404152774,272.86896683038924,274.70365454445425,278.87130664891043
8157,100.5,30.5,2020-12-05 21:00:00,262.44832224020246,267.5688798051143,260.8378257875453,271.5396046439628,272.8648831106114,274.7001976222857,278.86630992858267
8158,100.5,30.5,2020-12-05 22:00:00,262.46312587853816,267.020521278411,261.52768681884044,271.47220864333144,272.857940786989,274.69904531489624,278.86320851596537
8159,100.5,30.5,2020-12-05 23:00:00,262.4465806356924,266.73381605886567,261.61746325441993,271.39321169177174,272.8522235793,274.6955883927277,278.85993480264716
8160,100.5,30.5,2020-12-06 00:00:00,262.3629836192083,266.43319311021617,261.507605247724,271.30813805163046,272.8460979996332,274.69414800849086,278.85493808231934
8161,100.5,30.5,2020-12-06 01:00:00,262.08606850210487,266.4174196838982,263.80399196833673,271.29985165811024,272.83793056007744,274.6906910863223,278.8518366697021
